,org_sent,processed_sent
0,It is old and not very clean.,old clean .
1, the staff were okay.,staff okay .
2,Very few cable stations.,cable station .
3,No cnn msnbc espn weather channel.,cnn msnbc espn weather channel .
4,Hotel furnishes were old and dirty.,hotel furnishe old dirty .
5,Bed was very comfortable.,bed comfortable .
6,Window A/C was noisy and barely adequate.,window noisy barely adequate .
7, great location friendly staff and good price.,great location friendly staff good price .
8,Just don’t think price was comparable to the stay,think price comparable stay
9,I would stay here again.,would stay .
10,"Check in was quick, hotel room is so small and dreary as very old/run down.",check quick hotel room small dreary .
11,Bed was not very comfortable.,bed comfortable .
12,Good location by the park.,good location park .
13,The water in lobby was nice touch.,water lobby nice touch .
14,"The rooms were very small, outdated and uncomfortable.",room small outdated uncomfortable .
15,The walls need painted in the hallway - the wallpaper is awful.,wall need paint hallway wallpaper awful .
16,"They say it's for fast speed internet, free water a day, online newspapers (not sure how this was suppose to be accessed) and snacks from 4-6pm.",say fast speed internet free water day online newspaper sure suppose access snack
17,It doesn't matter - half the time I couldn't connect to the internet and when I did connect it was so slow.,matter half time could connect internet connect slow .
18,There was an ice machine in the basement - the basement was scary - I really would not have been surprised had I seen a rat.,ice machine basement basement scary really would surprise see rat .
19,We had leftovers and had a difficult time fitting them in.,leftover difficult time fit .
20,The fridge has a glass door and the light is on constantly- hard to sleep with it and the noise.,fridge glass door light constantly hard sleep noise .
21,I would not recommend staying here unless you can't afford any other option.,would recommend stay unless afford option .
22,It was fine for one night.,fine one night .
23,There was no deadbolt or physical lock on the door.,deadbolt physical lock door .
24,So I could not lock it on the inside.,could lock inside .
25,This could allow anyone with an electronic key card to enter.,could allow anyone electronic key card enter .
26,The location was good and the staff friendly,location good staff friendly
27,Location was amazing fairly quiet on a Friday night.,location amazing fairly quiet friday night .
28,I found this roach/bug in the bathroom floor,find bathroom floor
29,The room was very outdated the tv wasn’t even calibrated to fit the screen each channel was too big to be displayed on the small tv bath towels where ok not too bad the bathroom smelled bad like the shower curtains where not cleaned it smelled like sweat The ceiling was recently patched up and looked like some just finished repairing it bed was too low to the floor the pillows were very comfortable the bed was very outdated and stiff,room outdated tv even calibrate fit screen channel big display small tv bath towel ok bad bathroom smell bad like shower curtain clean smell like sweat ceiling recently patch look like finish repair bed low floor pillow comfortable bed outdated stiff
30,The room me and my boyfriend stayed in was very dirty and lighting in the room was horrible and tv didn’t work,room boyfriend stay dirty lighting room horrible tv work
31,Staff is very friendly and room is very clean.,staff friendly room clean .
32,I stayed here with my family.,stay family .
33,"Clean, modern furniture and staff went out of their way to make sure I was taken care of.",clean modern furniture staff go way make sure take care .
34,"This hotel is in a beautiful location, the staff I encountered were nice.",hotel beautiful location staff encounter nice .
35,There was little tabletop ironboard without any surface to put it on - no table/desk/dresser.,little tabletop ironboard without surface put
36,"The bathroom was ok. That hotel should be rated 1.5.. Also, NO CABLE TV.",bathroom ok . hotel rate also cable tv .
37,I hope Iwas not selectively give that room.,hope iwa selectively give room .
38,Least I am in the medical profession.,least medical profession .
39,Room was very2 small ...everythings its good,room very2 small everything good
40,"Me and my girlfriend checked in at 10am, fully aware that our room would not be ready until check-in time (3pm).",girlfriend check fully aware room would ready checkin time
41,"After being told by the receptionist that our room was not ready yet (2 hours after check-in time, 7 hours after we checked in!!",tell receptionist room ready yet hour checkin time hour check
42,"), we had to wait another hour in the lobby.",wait another hour lobby .
43,"Of course, the wait was not even worth it, because the rooms are EXTREMELY SMALL.",course wait even worth room extremely small .
44,Our room was small to the point where we didn't even have space to open our luggage properly!,room small point even space open luggage
45,"On top of that, the fridge was working half of the time, the ""ac"" is just a loud, dirty fan that blasts cold air at you, and the shower water flow sucks.",top fridge work half time ac loud dirty fan blast cold air shower water flow suck .
46,You'll know what I mean if you end up having to stay here.,know mean end stay .
47,The location was perfect because I wanted to be by Central park.,location perfect want central park .
48,And Glenny was a very nice receptionist.,glenny nice receptionist .
49,"They offered suggestions on where to eat, guidance on using local transportation, and housekeeping was outstanding.",offer suggestion eat guidance use local transportation housekeeping outstanding .
50,"The hotel was about a 20-25 minute walk to Columbia University, the Apollo in Harlem and right across the street from Central Park.",hotel minute walk columbia university apollo harlem right across street central park .
51,"No cable television, nor breakfast are served here.",cable television breakfast serve .
52, clean and comfortable.,clean comfortable .
53,For those looking for an affordable hotel room in Upper West Manhattan it should suit your needs.,look affordable hotel room upper west manhattan suit need .
54,"Perfect location, clean and modern ",perfect location clean modern
55,Honestly it was not worth the 150 deposit and the extra fee there was no CABLE the AC was old and kept turning off...,honestly worth deposit extra fee cable ac old keep turn
56,The customer service is awesome ,customer service awesome
57, for the high rate of upper Manhattan might as well pay the 250 for lower Manhattan,high rate upper manhattan may well pay low manhattan
58,The rooms are so small that it was hard to move around.,room small hard move around .
59,"The room was literally never cleaned, nor the AC filter because the air smelled bad.",room literally never clean ac filter air smell bad .
60,"They moved us to another room, and this one had the bathtub clogged.",move another room one bathtub clog .
61,It was just one thing after another.,one thing another .
62,Pretty disappointing stay for sure.,pretty disappointing stay sure .
63,Very frustrating experience.,frustrating experience .
64,"Hotel charges a $20 ""resort fee"" per day, which is supposed to cover wifi and some other amenities...I can't even remember what the other supposed amenities were.",hotel charge resort fee per day suppose cover wifi amenity even remember suppose amenity .
65,Wifi was incredibly weak and didn't even work half of the time.,wifi incredibly weak even work half time .
66,The television didn't work in either my room or my colleague's room.,television work either room colleague room .
67,I travel a lot to NYC and book travel for colleagues traveling through the city.,travel lot nyc book travel colleague travel city .
68,"I will not be staying at Park West again, nor will I put any of my colleagues there.",stay park west put colleague .
69,Staffs here were very friendly and made check in very easy.,staff friendly make check easy .
70,One thing any guest that come here that needs to know is that the room are small.,one thing guest come need know room small .
71," even with me preferring a softer bed, I slept very well and refreshed.",even prefer soft bed sleep well refresh .
72,"The bathroom is pretty standard, not crazy.",bathroom pretty standard crazy .
73,"The only thing is one of the morning I stayed, the hot water wasn't warm.",thing one morning stay hot water warm .
74,"at least for me, I prefer a colder shower, so I didn't mind too much, ",least prefer cold shower mind much
75,This is part of the $19.95 fee you pay per night.,part fee pay per night .
76,"The room does not have a microwave in case you are wondering, however, I was eating out most of the time or eating meal that didn't need a microwave, so it was not a big deal.",room microwave case wonder however eat time eat meal need microwave big deal .
77,The room has a window A/C unit.,room window unit .
78,"For my room, it did its job, however, the room may not be cold during the day with the summer heat.",room job however room may cold day summer heat .
79,"Along with the NY outside noise and the loud A/C unit, this might bother you.",along ny outside noise loud unit may bother .
80,So consider bringing ear plugs.,consider bring ear plug .
81,"As I did not need too much extra features, this hotel was perfect for me, especially for it being next to Central Park.",need much extra feature hotel perfect especially next central park .
82,The airconditioner and the mattress was in good condition.Bathroom was old and dirty .Elevator was too small .Extra charges,airconditioner mattress good condition.bathroom old dirty small charge
83,Being in the hospitality industry- I feel like this hotel has so much potential ,hospitality industry feel like hotel much potential
84, just a majorly missed opportunity for this hotel.,majorly miss opportunity hotel .
85,Good hotel considering price/service rate,good hotel consider rate
86,Woke up to roaches in bathroom.,wake roach bathroom .
87,Other then the roaches had a good stay.,roach good stay .
88,really small room ,really small room
89,A family would be too crowded.,family would crowded .
90,My stay met expectations.,stay meet expectation .
91,Bed was comfortable.,bed comfortable .
92,"Staff were friendly, particularly the morning staff.",staff friendly particularly morning staff .
93, completely functional) toilet.,completely functional toilet .
94,Very good service on the front desk ,good service front desk
95,"It is nice address, in front to Central park, ",nice address front central park
96, some rooms don't have any light from the outside and little narrow,room light outside little narrow
97, the people in the lobby weren't very nice ,people lobby nice
98,I liked the ease of the location though being on the ground floor was a noisy morning.,like ease location though ground floor noisy morning .
99,Good location.,good location .
100,Reasonable price and clean.,reasonable price clean .
101,I would stay there again.,would stay .
102,My stay was pretty good.,stay pretty good .
103,My friends and I enjoyed the convenience of the hotels location as well as the price For what we got.,friend enjoy convenience hotel location well price get .
104,"However, this is a rather small hotel, and a bit old.",however rather small hotel bit old .
105,"For young people on a budget, this hotel works.",young people budget hotel work .
106,Professional courteous staff.,professional courteous staff .
107,Location excellent right across from Central Park and easy access to public transportation,location excellent right across central park easy access public transportation
108,"small rooms, the hotel hasn't been renovated in a long time",small room hotel renovate long time
109,"Great location (quick walk to subway) , the staff was friendly and helpful and the rooms were sufficient.",great location quick walk subway staff friendly helpful room sufficient .
110,"TWO USB plugs, cold A/C and a mini fridge.",two usb plug cold mini fridge .
111,You really can't beat this room for the price in the city.,really beat room price city .
112,"Proximity is really good, along with price.",proximity really good along price .
113," in saying this, it will cost more in subway fares, snacks/food/drinks because neither are included in the cost.",say cost subway fare neither include cost .
114,Very small rooms with extremely loud and cheap window units.,small room extremely loud cheap window unit .
115,The first day the elevator wasn’t working.,first day elevator work .
116,No coffee makers.,coffee maker .
117,This property was outdated.,property outdate .
118,The WiFi barely worked spent almost $150 for 1 night and would have rather driven over and hour back home before staying here again.,wifi barely work spend almost night would rather drive hour back home stay .
119,The hotel was horrible.,hotel horrible .
120,The ice machine didn’t work.,ice machine work .
121, really small.,really small .
122,"Bad service, from desk never gave me the card to use correctly the shower and teléfono on the room was not working.",bad service desk never give card use correctly shower room work .
123,Located within minutes of 103rd st subway.,locate within minute st subway .
124,Room was clean for an older hotel.,room clean old hotel .
125,"Don’t expect much for amenities for this price range, and room is basically for sleeping, after all you’re in NYC.",expect much amenity price range room basically sleep nyc .
126,The location of the hotel was great.,location hotel great .
127,Room was extremely small and ice machine was not working.,room extremely small ice machine work .
128,"Other than that, actually pretty nice.",actually pretty nice .
129,I would stay there again.,would stay .
130,"Location was excellent- across the street from Central Park, and a super short walk to the subway!",location excellent across street central park super short walk
131,"Size of the room is enough and amenities were just okay - I’m not in the city to stay in my hotel though, haha.",size room enough amenity okay city stay hotel though haha .
132,"WiFi was a little spotty, ",wifi little spotty
133,It was a great stay for the money.,great stay money .
134, overall its affordable and clean.,overall affordable clean .
135,Reminds me of alot of the small hotels I've stayed at in Europe.,remind alot small hotel stay europe .
136,Tiny little rooms right off Central Park.,tiny little room right central park .
137,Location not too bad.,location bad .
138, overall worked out for what we needed it a quick place to spend the night.,overall work need quick place spend night .
139,Didnt spend much time in the room,spend much time room
140,"Very neat,clean and close almost everything.",close almost everything .
141,The only thing is the space in rooms ,thing space room
142,I was scared to stay here after reading the reviews ,scared stay read review
143," it’s fine, really.",fine really .
144,"The resort fee that they charge you a $20 per day is total crap, so just add it to the price of the hotel that you’re being charged and suck it up if you’re getting a great deal.",resort fee charge per day total crap add price hotel charge suck get great deal .
145,The rooms are super small ,room super small
146, if you’re planning on being in New York to do things and be places and visit things then that doesn’t really matter.,plan new york thing place visit thing really matter .
147,"If you are staying for a romantic getaway and you plan on spending a lot of time in the room, this is probably not the hotel for you.",stay romantic getaway plan spend lot time room probably hotel .
148,"The hotel is about two blocks from the subway which is super easy and super convenient and the neighborhood is really safe to walk in at night or at any time, which makes this location super awesome.",hotel two block subway super easy super convenient neighborhood really safe walk night time make location super awesome .
149,About two blocks away I’m in Columbus and Amsterdam is the Cathedral of St. John the divine and restaurants in Columbia University which is super cool to look at them walk around and it’s a really vibrant neighborhood which has a lot of stuff to do in a lot of places to eat which is cool.,two block away columbus amsterdam cathedral st . john divine restaurant columbia university super cool look walk around really vibrant neighborhood lot stuff lot place eat cool .
150,If you forget stuff there’s a whole foods and a TJ Maxx and some other bigger chains a couple of blocks away too.,forget stuff whole food tj maxx big chain couple block away .
151,The staff will not find all over you or rush to greet you or go the extra mile ,staff find rush greet go extra mile
152, they are friendly if you ask for help or recommendations and give you some suggestions if you need them.,friendly ask help recommendation give suggestion need .
153,Our room was turned down every night and was fairly clean ,room turn every night fairly clean
154, there were blemishes on the room like paint splatters or discolored ceiling.,blemish room like paint splatter discolor ceiling .
155,It was fine to use as homebase.,fine use homebase .
156,Ac window unit was not the greatest.,ac window unit great .
157,Extremely old and outdated.,extremely old outdated .
158,Not worth the money.,worth money .
159,I didn’t like anything at all .It wasn’t as good as I thought it would be .,like anything good think would
160, this hotel needs some SERIOUS renovating.,hotel need serious renovating .
161,"There was a crack in the bathroom sink, The bathroom door looked like it was kicked in, one of the outlets seemed faulty, the tv was playing re-runs from the 70’s and earlier etc.",crack bathroom sink bathroom door look like kick one outlet seem faulty tv play rerun early etc .
162,I blame myself for not checking the reviews before booking ,blame check review booking
163,"Biggest scam ever - hotel doesn't look like anything in their website, room for 2 double beds looks and feels like a jail cell with bathroom that looks exactly like a bathroom of a hole in the wall Chinese restaurant; the hallways and elevator are so suffocatingly narrow - this hotel needs to be condemned!",big scam ever hotel look like anything website room double bed look feel like jail cell bathroom look exactly like bathroom hole wall chinese restaurant hallway elevator suffocatingly narrow hotel need
164, stayed only one night which was the most miserable night of our lives),stay one night miserable night life
165,Unfortunately I read the reviews for this place after I booked.,unfortunately read review place book .
166,The were very bad with photos to support just how gross this place is.,bad photo support gross place .
167,"Unfortunately the reservation was non refundable, so we ended up losing our money because there was no way we were going to stay here.",unfortunately reservation non refundable end lose money way go stay .
168,We only stayed there for a night and it was a very unpleasant experience.,stay night unpleasant experience .
169,The ceiling of pur room was moldy.,ceiling pur room moldy .
170,I attempted to take a shower and the drained was clogged.,attempt take shower drain clog .
171,"We called the front desk and they sent someone in, who said the issue was not an easy fix.",call front desk send someone say issue easy fix .
172,"They did not move us to another room, ",move another room
173,We waited for one and a half hours and no one got back.,wait one half hour one get back .
174,"By then it was 9:30 and we were too tired, so we slept without being able to shower.",tired sleep without able shower .
175,Save your money and stay somewhere else!,save money stay somewhere
176,Great location and that's about all that's positive.,great location positive .
177,"The elevators did not work and I had to carry my luggage up six flights of stairs, a cramped and twisted journey.",elevator work carry luggage six flight stair cramped twisted journey .
178,I had to step over bags of hallway trash and debris while climbing stairs.,step bag hallway trash debris climb stair .
179,"The room, while clean, is no bigger than a postage stamp.",room clean big postage stamp .
180,Expedia should drop this hotel from the listing.,expedia drop hotel listing .
181,"Very small rooms, not many amenities.",small room many amenity .
182,The television didn’t work consistently + the a/c unit was loud & ineffective.,television work consistently unit loud ineffective .
183,The staff weren’t very helpful either.,staff helpful either .
184,The last straw was the internet that you pay for within the “resident fee” was weak.,last straw internet pay within weak .
185,Photos showing this hotel are definitely photoshopped.,photo show hotel definitely photoshoppe .
186,I’m convinced that this is a working girls hotel and I don’t mean girl bosses.,convince work girl hotel mean girl boss .
187,Our room was filthy and unsafe considering that the locks on the door were sawed off and altered so the door would not lock.,room filthy unsafe considering lock door saw alter door would lock .
188,Tried to call downstairs from the hotel phone and it wasn’t even working even though it was connected.,try call downstairs hotel phone even work even though connect .
189,I was concerned for my safety called Hotels.com they did nothing nor did they try to get us a refund.,concern safety call hotels.com nothing try get refund .
190,The hotel wouldn’t give us a refund and I didn’t even stay in that dilapidated moldy smelly uncomfortable room.,hotel give refund even stay dilapidate moldy smelly uncomfortable room .
191,"The overall hotel is very dark, dirty, creepy and unsafe.",overall hotel dark dirty creepy unsafe .
192,I really felt that I would be in danger if I stayed so I left to go to a safe clean and reliable branded hotel.,really feel would danger stay leave go safe clean reliable brand hotel .
193, I could rest easy knowing I wouldn’t be awakened with a stranger in my room because the door didn’t close or lock and the phone didn’t work.,could rest easy know awaken stranger room door close lock phone work .
194,I don’t recommend single women stay there and if you do stay at your own risk.,recommend single woman stay stay risk .
195,Unfortunately the photos we took won’t load in this review ,unfortunately photo take load review
196,Hotels.com should remove this before something bad happens to a guest because they have vouched for this fraudulent hotel by having it on their site.,hotels.com remove something bad happen guest vouch fraudulent hotel site .
197,SAFETY IS A GREAT CONCERN.,safety great concern .
198,The hotels knows this and that is why they don’t refund monies.,hotel know refund monie .
199,Because most people want to leave within hours of arriving.,people want leave within hour arrive .
200,Not good dirty facility is very bad .,good dirty facility bad
201,Bathroom doors not operating properly getting locked in and not being able to get out of bathroom !,bathroom door operate properly get lock able get bathroom
202,"Hallways were poorly cleaned , rooms were the size of a dorm rooms.",hallway poorly clean room size dorm room .
203,"Certainly well located, ",certainly well locate
204, not worth the cost.,worth cost .
205,It was in a great location.,great location .
206,Just a really loud AC unit.,really loud ac unit .
207,You could not hear the TV and have the AC on at the same time.,could hear tv ac time .
208,"I made this complaint while staying there to be helpful and they responded to me/you saying that the matter had be remedied, etc.",make complaint stay helpful respond say matter remedie etc .
209,"However, there was never a discussion with the hotel staff beyond getting checked in.",however never discussion hotel staff beyond get check .
210,It is a PERFECT location and a great place to stay beyond that one negative thing.,perfect location great place stay beyond one negative thing .
211,When we did our check in we were given a room where the A/C was broken.,check give room break .
212,We talked to the front desk who said was going to gives us another room later that same day.,talk front desk say go give another room later day .
213,We went to have dinner and when we came back the front desk employee was different and had no information regarding our case.,go dinner come back front desk employee different information regard case .
214,After a very unpleasant questioning he gave us another room that had the toilet broken and we could not use it at all.,unpleasant questioning give another room toilet break could use .
215,We were not given another room since there was no other according to the guy in the front desk who was irritated by the fact that we were not comfortable in a room that was not useful since the bathroom was off limits.,give another room since accord guy front desk irritate fact comfortable room useful since bathroom limit .
216, hold not to your credit cards.,hold credit card .
217,I paid on hotels.com and so far since the 27th they have made the following deductions from my account.,pay hotels.com far since make follow deduction account .
218,All this and I paid in full prior to the booking.,pay full prior booking .
219,They are a bunch of crooks as far as I am concerned.,bunch crook far concern .
220, it’s not worth the hassle.,worth hassle .
221,Really dissapointed in our stay here.,really dissapointed stay .
222,"Air conditioner sounded like a truck driving through a brick wall, toilet clogged after my daughter peed in it (obviously it was having issues before that).",air conditioner sound like truck drive brick wall toilet clog daughter peed obviously issue
223,"Deadbolt didn't work, lever just spun in circles.",deadbolt work lever spin circle .
224,"I called about AC and toilet issues 3 times, was told ""ok, we'll send someone up"".",call ac toilet issue time tell ok well send someone
225,"I went down after 45 minutes of nobody coming up, desk was empty and guy at the door says ""I'll send someone up"" as he ran down a set of stairs.",go minute nobody come desk empty guy door say ill send someone run set stair .
226,"Their resolution: AC unit is old, don't use it, open the window (which had no screen).",resolution ac unit old use open window
227,"Asked for another room, they were all booked, sorry.",ask another room book sorry .
228,We'll send someone right up.,well send someone right .
229,10 am next morning I had to call twice more to ask for toilet to be plunged.,next morning call twice ask toilet plunge .
230,"Place was overall dingy, stains on a pillow and some washcloths, they also kept the housekeeping cart, vacuumand a pile of ""clean"" linens right outside my door, classy.",place overall dingy stain pillow washcloth also keep housekeeping cart vacuumand pile clean linen right outside door classy .
231,Liked: convenience to Columbia University and Central Park; pleasant housekeeping staff for our floor after we moved; refrigerator; free water bottles daily; free luggage storage when we arrived early.,like convenience columbia university central park pleasant housekeeping staff floor move refrigerator free water bottle daily free luggage storage arrive early .
232,"Disliked: broken singular elevator and having to climb five flights of stairs for two days until repaired; one flight had a broken rail for narrow stairwell, later fixed; bathroom door off the hinges, also repaired; first room with no hair dryer and so small that could not unpack for our six nights ",dislike broken singular elevator climb five flight stair two day repair one flight broken rail narrow stairwell later fix bathroom door hinge also repair first room hair dryer small could unpack six night
233," did allow us to move; television only had basic satellite and no CNN, MSNBC or Comedy Central.",allow move television basic satellite cnn msnbc comedy central .
234,"When booking, I noticed comments noted the rooms were small and I rolled my eyes because duh this is New York, where space is at a premium and who goes there and spends a lot of time in their room anyway, so I wasn't surprised that the room is really, really, REALLY small (and I like the Pod hotels.)",book notice comment note room small roll eye duh new york space premium go spend lot time room anyway surprised room really really really small like pod hotel .
235," the real kicker was the rip-off at the end, where they insisted we pay an additional $50 for water we didn't drink, wi-fi we didn't use, luggage we didn't store.",real kicker ripoff end insist pay additional water drink wifi use luggage store .
236, be aware: they're really aggressive rip-off artists.,aware really aggressive ripoff artist .
237,"Manager was excessively rude and full of BS, claiming that all New York hotels since February have this charge whether you use the service or not, and that I had agreed to it (I've read what I clicked--I didn't agree.)",manager excessively rude full bs claim new york hotel since february charge whether use service agree read clickedi agree .
238,"We were there for an event at Columbia University, so the location was good, ",event columbia university location good
239," next time I'll just walk a little farther, and I recommend other Columbia-based guests do so too.",next time ill walk little farther recommend columbiabase guest .
